text,label
"Fifty Shades Freed is the third and final installment of the erotic romance Fifty Shades Trilogy by British author E.L. James. After accepting entrepreneur CEO Christian Grey's proposal in Fifty Shades Darker, Anastasia Steele must adjust not only to married life but to her new husband's wealthy lifestyle and controlling nature. The paperback edition was first published in April 2012.is there a 50 shades of grey 3",1
"The film tells a story of a girl named Mary Smith who finds ``fly-by-night'', a mysterious flower that can give her the power to become a witch for only one night. The film was released in Japan on 8 July 2017. In the English-language version of the film, which was concurrently released with a subtitled version in the United States on 19 January 2018, the film features the voices of Ruby Barnhill, Kate Winslet and Jim Broadbent.is mary a witch in mary and the witchs flower",1
"Generally, a passenger with an electronic ticket will only need a boarding pass. If a passenger has a paper airline ticket, that ticket (or flight coupon) may be required to be attached to the boarding pass for him or her to board the aircraft. For ``connecting flights'', a boarding pass is required for each new leg (distinguished by a different flight number), regardless of whether a different aircraft is boarded or not.is a flight ticket and boarding pass the same thing",0
"When synthesizing new DNA, DNA polymerase can add free nucleotides only to the 3' end of the newly forming strand. This results in elongation of the newly forming strand in a 5'--3' direction. No known DNA polymerase is able to begin a new chain (de novo); it can only add a nucleotide onto a pre-existing 3'-OH group, and therefore needs a primer at which it can add the first nucleotide. Primers consist of RNA or DNA bases (or both). In DNA replication, the first two bases are always RNA, and are synthesized by another enzyme called primase. Helicase and topoisomerase II are required to unwind DNA from a double-strand structure to a single-strand structure to facilitate replication of each strand consistent with the semiconservative model of DNA replication.can a dna polymerase initiate new strand of nucleic acid independently",0
"The seventh and final season of the American comedy series New Girl premiered April 10, 2018 on Fox at 9:30 pm (Eastern).is season 7 the final season of new girl",1
"Cajeta is a confection of thickened syrup usually made of sweetened caramelised goat's milk. It is a type of dulce de leche, in Mexico it is considered a specialty of the city of Celaya in the state of Guanajuato.is cajeta the same as dulce de leche",1
Perfume intolerance or perfume allergy is a condition wherein people exhibit sensitivity or allergic reactions to ingredients in some perfumes and some other fragrances.is it possible to be allergic to perfume,1
"Where coils are individually applied per cylinder, they may all be contained in a single molded block with multiple high-tension terminals. This is commonly called a coil-pack.is ignition coil and coil pack the same thing",0
"The 1970 and 1994, along with the 1986, 1990 and 2014 games are to date the only matches competed by the same teams (Brazil--Italy and Argentina--Germany respectively). As of 2018, the 1934 final remains the latest final to have been between two teams playing their first final. The final match of the most recent tournament in Russia took place at the country's biggest sports complex, the Luzhniki Stadium in Moscow. The 1930 and the 1966 games are the only ones that did not take place on a Sunday. The former did on a Wednesday and the latter on a Saturday. As of 2018, only nations from Europe and South America have competed in a World Cup final. Six nations have won the final as host: Uruguay, Italy, England, Germany, Argentina and France. Two nations have lost the final as host: Brazil and Sweden.has any world cup team won at home",1
"For season two, two former supporting characters were promoted to the main cast of characters: Peter's con-artist older cousin Destiny (Tiio Horn), who makes her living as a psychic medium, and Dr. Johann Pryce (Joel de la Fuente), the lead scientist of the Godfrey Institute, a brilliant but ruthless man of science, gifted with super-strength. A cult has arisen that is bent on destroying the supernatural creatures in Hemlock Grove by any means necessary. To make matters worse, both Peter and Roman struggle with their nature, as Peter risks becoming the same killer from the first season and Roman, after his full immersion with his true nature in the first season, has developed an insatiable hunger to kill. As they fight their enemies and deal with their situations, they must also deal with the monsters they are becoming, or have already become.is peter in season 2 of hemlock grove",1
